,id,category,title,comment_count,upvote_count,view_count,share_count,username,following,Name,posted_n_days_ago,popularity_score,genre,targeted_audience,post_description,tags,scaled_view_count,scaled_upvote_count,scaled_share_count,scaled_comment_count,scaled_popularity_score,recency_factor,trending_score
23,52,"['Vible', 535, 'All the best vibes!']",Matthew 25:29,1,5,127,0,mike,True,Michael Dadzie,381,71.81858200892303,Unspecified,General Audience,Description not available.,"['michael dadzie', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'mike']",0.2702127659574468,0.08333333333333333,0.0,0.05555555555555555,0.6409028484827274,0.002617801047120419,0.16763811696244105
24,19,"['Vible', 535, 'All the best vibes!']",WE ARE MADE OF STARS,0,3,140,0,afrobeezy,True,Michael Dadzie,388,48.71235900357477,Unspecified,General Audience,Description not available.,"['michael dadzie', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'afrobeezy']",0.2978723404255319,0.05,0.0,0.0,0.4347049018292427,0.002570694087403599,0.14308926171932423
25,44,"['Vible', 535, 'All the best vibes!']",escape the matrix,0,11,145,0,mike,True,Michael Dadzie,381,25.822156178797552,Unspecified,General Audience,Description not available.,"['michael dadzie', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'mike']",0.30851063829787234,0.18333333333333332,0.0,0.0,0.23043470068653032,0.002617801047120419,0.15252510832939345
26,173,"['Vible', 535, 'All the best vibes!']",UntitledVideo,1,10,154,0,kinha,False,Sachin Kinha,372,15.484804043631565,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.32765957446808514,0.16666666666666666,0.0,0.05555555555555555,0.13818505938375802,0.002680965147453083,0.15127336368243555
27,549,"['Vible', 535, 'All the best vibes!']",UntitledVideo,0,8,170,0,kinha,False,Sachin Kinha,347,22.705137803509565,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.3617021276595745,0.13333333333333333,0.0,0.0,0.20261869681100309,0.0028735632183908046,0.15572653096747838
28,560,"['Vible', 535, 'All the best vibes!']",UntitledVideo,1,13,286,0,kinha,False,Sachin Kinha,343,35.90085641907847,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.6085106382978723,0.21666666666666667,0.0,0.05555555555555555,0.3203761547268933,0.0029069767441860465,0.2637703935253585
29,1286,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Successful Night 🤩 #memecoins #trading #cryptocurrency #crypto #fyp #solana #SOL #pumpfun #nocturnal,0,1,33,0,kinha,False,Sachin Kinha,41,43.94449154672439,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.07021276595744681,0.016666666666666666,0.0,0.0,0.3921568627450981,0.023809523809523808,0.06599380177602958
33,1064,"['Pumptok', 19, 'Learn more about tokens!']",What is DAI Stablecoin,18,60,470,0,kinha,False,Sachin Kinha,191,0.0,Unspecified,General Audience,Description not available.,"['sachin kinha', 'pumptok', '19', 'learn more about tokens!', 'unspecified', 'description not available.', 'general audience', 'kinha']",1.0,1.0,0.0,1.0,0.0,0.005208333333333333,0.6005208333333333
34,1088,"['Pumptok', 19, 'Learn more about tokens!']",Big News_ Blackrock's Ethereum ETF Likely to Be Approved in July! This will cause a big pump for the crypto market so now is the tike to front run #cryptonews #ethereum #eth #fyp #foryou #CapCut,5,21,144,1,kinha,False,Sachin Kinha,135,0.0,Unspecified,General Audience,Description not available.,"['sachin kinha', 'pumptok', '19', 'learn more about tokens!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.30638297872340425,0.35,0.125,0.2777777777777778,0.0,0.007352941176470588,0.2154279655124461
37,811,"['Vible', 535, 'All the best vibes!']",Goliath thought he had already won as soon as he saw David and laughed at him,0,1,12,0,kinha,False,Sachin Kinha,220,93.5748693755926,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.025531914893617023,0.016666666666666666,0.0,0.0,0.8350540856092817,0.004524886877828055,0.09495080505012943
38,422,"['Vible', 535, 'All the best vibes!']",UntitledVideo,0,1,31,0,kinha,False,Sachin Kinha,357,99.24141760182096,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.06595744680851064,0.016666666666666666,0.0,0.0,0.8856218745807108,0.002793296089385475,0.11196208444289617
39,385,"['Vible', 535, 'All the best vibes!']",UntitledVideo,0,0,16,0,kinha,False,Sachin Kinha,358,80.62917611526247,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.03404255319148936,0.0,0.0,0.0,0.7195278324579958,0.002785515320334262,0.08244410073527983
40,698,"['Vible', 535, 'All the best vibes!']",Gain the whole world,0,2,18,0,kinha,False,Sachin Kinha,227,95.65431091727244,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.03829787234042553,0.03333333333333333,0.0,0.0,0.8536108430672658,0.0043859649122807015,0.10395570916674898
41,383,"['Vible', 535, 'All the best vibes!']",UntitledVideo,0,1,20,0,kinha,False,Sachin Kinha,358,102.13028974599914,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.0425531914893617,0.016666666666666666,0.0,0.0,0.9114019211134614,0.002785515320334262,0.10751803442352142
42,919,"['Vible', 535, 'All the best vibes!']",Stop Worrying,0,1,2,0,kinha,False,Sachin Kinha,214,20.10126823623841,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.00425531914893617,0.016666666666666666,0.0,0.0,0.17938198876051237,0.004651162790697674,0.02301324423313519
43,891,"['Vible', 535, 'All the best vibes!']",jesuschristloveyou jesus love me,0,0,4,0,kinha,False,Sachin Kinha,217,20.10126823623841,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.00851063829787234,0.0,0.0,0.0,0.17938198876051237,0.0045871559633027525,0.020950105961743216
44,890,"['Vible', 535, 'All the best vibes!']",jesuschristloveyou you always help us,0,0,3,0,kinha,False,Sachin Kinha,217,20.10126823623841,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.006382978723404256,0.0,0.0,0.0,0.17938198876051237,0.0045871559633027525,0.020311808089402788
45,887,"['Vible', 535, 'All the best vibes!']",jesuschristloveyou he is my saviour,0,0,3,0,kinha,False,Sachin Kinha,217,20.10126823623841,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.006382978723404256,0.0,0.0,0.0,0.17938198876051237,0.0045871559633027525,0.020311808089402788
46,1288,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Trading memecoins in 2024 ____ $DUKO ON SOLANA #memecoins #memecoin #solana,1,0,31,0,kinha,False,Sachin Kinha,41,45.74771391695639,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.06595744680851064,0.0,0.0,0.05555555555555555,0.4082486640756489,0.023809523809523808,0.06854860838662603
47,1255,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Shinobi ninja is the play for 2024! Solana is beating eth in every metric. Dont be a jeet #endthestruggletogether #token2049 #shinonbininja #nkds,0,2,53,0,kinha,False,Sachin Kinha,63,41.74726696938817,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.1127659574468085,0.03333333333333333,0.0,0.0,0.37254901960784315,0.015625,0.07931385586149353
48,1263,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",Trading memecoins in 2024 ____ $DUKO ON SOLANA #memecoins #memecoin #solana,0,1,30,0,kinha,False,Sachin Kinha,43,40.7642196375723,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.06382978723404255,0.016666666666666666,0.0,0.0,0.36377638977402305,0.022727272727272728,0.06113263575367568
49,789,"['Vible', 535, 'All the best vibes!']",jesus..is..my..hero,0,1,19,0,kinha,False,Sachin Kinha,221,91.45777700559972,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.04042553191489362,0.016666666666666666,0.0,0.0,0.8161613353979102,0.0045045045045045045,0.0975275768980429
50,31,"['Vible', 535, 'All the best vibes!']",Don't laugh,0,3,107,0,afrobeezy,True,Michael Dadzie,386,22.13327672468362,Unspecified,General Audience,Description not available.,"['michael dadzie', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'afrobeezy']",0.2276595744680851,0.05,0.0,0.0,0.19751545773131174,0.002583979328165375,0.09830781604637326
51,652,"['Vible', 535, 'All the best vibes!']",Understand one thing about these people.,0,1,19,0,kinha,False,Sachin Kinha,234,85.25710320887326,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.04042553191489362,0.016666666666666666,0.0,0.0,0.7608270557773456,0.00425531914893617,0.09196923040042959
54,1307,"['SolTok', 50, 'Ride the wave of Solana with SolTok']",stevencrypto321 - 7412525180750433582,0,0,30,0,kinha,False,Sachin Kinha,38,18.676408907357867,Unspecified,General Audience,Description not available.,"['sachin kinha', 'soltok', '50', 'ride the wave of solana with soltok', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.06382978723404255,0.0,0.0,0.0,0.16666666666666669,0.02564102564102564,0.03837970540098199
55,1246,"['Vible', 535, 'All the best vibes!']",“The Blame Game…” 🤍 - Sara Al Madani - Credits_ On a Mission - #lifeadvices #lifequote #mindsetgrowth #mindsetmatter #realtalks #saraalmadani #blamegame,1,3,21,0,kinha,False,Sachin Kinha,72,62.71158142298192,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.04468085106382979,0.05,0.0,0.05555555555555555,0.5596327585784412,0.0136986301369863,0.08629294974624724
56,100,"['Vible', 535, 'All the best vibes!']",UntitledVideo,0,2,18,1,kinha,False,Sachin Kinha,373,87.3365447505531,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.03829787234042553,0.03333333333333333,0.125,0.0,0.7793838132353297,0.00267379679144385,0.1213617893714717
57,871,"['Vible', 535, 'All the best vibes!']",Know that the loard he is god jesus,0,1,18,0,kinha,False,Sachin Kinha,218,84.21269505371858,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.03829787234042553,0.016666666666666666,0.0,0.0,0.7515068472339067,0.0045662100456621,0.09043000076341788
58,861,"['Vible', 535, 'All the best vibes!']",This will help you in better health and finincal stability,0,1,10,1,kinha,False,Sachin Kinha,218,81.72822626032315,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.02127659574468085,0.016666666666666666,0.125,0.0,0.7293356614194091,0.0045662100456621,0.10810649920324471
59,773,"['Vible', 535, 'All the best vibes!']",jesusismylove,0,1,14,0,kinha,False,Sachin Kinha,225,77.04565717680636,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.029787234042553193,0.016666666666666666,0.0,0.0,0.6875488176820849,0.004424778761061947,0.08146686319041398
60,822,"['Vible', 535, 'All the best vibes!']",You will go through trials and tribulations but there is only one why up from being down and God is there to help you,0,1,18,0,kinha,False,Sachin Kinha,220,66.16094506788065,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.03829787234042553,0.016666666666666666,0.0,0.0,0.5904145830538073,0.004524886877828055,0.07431664202862454
64,1193,"['Vible', 535, 'All the best vibes!']","Internal power, cultivated via years of inner work is exponentially more valuable - and fulfilling - than external power.#leadership #productivity #service #business #education #emotionalintelligence",0,0,13,0,kinha,False,Sachin Kinha,80,41.58883083359672,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.027659574468085108,0.0,0.0,0.0,0.3711351491596808,0.012345679012345678,0.046645955157628184
65,1102,"['Vible', 535, 'All the best vibes!']",I’m on a monomaniacal mission to help millions of our brothers and sisters  Formula so they reclaim intimacy with their greatest selves.mp4,0,1,17,0,kinha,False,Sachin Kinha,98,59.54920276006171,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.03617021276595745,0.016666666666666666,0.0,0.0,0.5314119633976794,0.010101010101010102,0.06833569451298953
66,1235,"['Vible', 535, 'All the best vibes!']",“You have created the groundwork…” 💔 - Sadia Khan - Credits_ Untempered Podcast - #relationshipadvice #relationshiptip #relationshipquote #relationshipgoal #realtalks #sadiakhan,0,0,7,1,kinha,False,Sachin Kinha,73,43.94449154672439,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.014893617021276596,0.0,0.125,0.0,0.3921568627450981,0.013513513513513514,0.07003512273224415
67,1242,"['Vible', 535, 'All the best vibes!']",Am I traumitized_ #dailyinspiration #wisdom #motivation,0,2,13,1,kinha,False,Sachin Kinha,72,19.408121055678468,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.027659574468085108,0.03333333333333333,0.125,0.0,0.17319640294118438,0.0136986301369863,0.058654042314909276
68,1243,"['Vible', 535, 'All the best vibes!']",“Listen to what they do…” 💯 - Justin Waller #relationshipsadvice #relationshiptip #relationshipgoal #realtalks #justinwaller,0,0,18,0,kinha,False,Sachin Kinha,72,24.260151319598084,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.03829787234042553,0.0,0.0,0.0,0.21649550367648046,0.0136986301369863,0.03450877508347434
70,376,"['Vible', 535, 'All the best vibes!']",UntitledVideo,0,1,10,0,kinha,False,Sachin Kinha,358,77.04565717680636,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.02127659574468085,0.016666666666666666,0.0,0.0,0.6875488176820849,0.002785515320334262,0.07874974535697951
73,1222,"['Vible', 535, 'All the best vibes!']",Walk in nature daily. Because to spend time with beauty is to enrich your relationship with beauty. #leadership #productivity #service,0,3,32,7,kinha,False,Sachin Kinha,77,61.52228816541415,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.06808510638297872,0.05,0.875,0.0,0.5490196078431373,0.01282051282051282,0.26160954398125863
78,790,"['Vible', 535, 'All the best vibes!']",5 Bible Verses To Invite The Presence Of God,0,0,31,0,kinha,False,Sachin Kinha,221,112.0584534441472,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.06595744680851064,0.0,0.0,0.0,1.0,0.0045045045045045045,0.12023768449300365
82,1315,"['Vible', 535, 'All the best vibes!']",do it now,0,3,25,1,shivam_03f0c0i5l,False,Shivam Nimbalkar,27,24.95329850015803,Unspecified,General Audience,Description not available.,"['shivam nimbalkar', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'shivam_03f0c0i5l']",0.05319148936170213,0.05,0.125,0.0,0.2226810894958085,0.03571428571428571,0.07679698432952006
83,1231,"['Vible', 535, 'All the best vibes!']",The fact you are alive is incredible. My hope is tou never take it for granted. #inspiration #motivation #dailywisdom,0,1,8,0,kinha,False,Sachin Kinha,74,15.249237972318795,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.01702127659574468,0.016666666666666666,0.0,0.0,0.1360828880252163,0.013333333333333334,0.0233813384479117
84,792,"['Vible', 535, 'All the best vibes!']",Share God's faith and love with those around you by living true to His values __and teachings.,0,0,12,0,kinha,False,Sachin Kinha,221,40.7642196375723,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.025531914893617023,0.0,0.0,0.0,0.36377638977402305,0.0045045045045045045,0.04448766389593787
85,767,"['Vible', 535, 'All the best vibes!']",brazilian 🗣,1,0,21,0,kinha,False,Sachin Kinha,225,47.13400827807628,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.04468085106382979,0.0,0.0,0.05555555555555555,0.42061983571430495,0.004424778761061947,0.06146427232224119
86,378,"['Vible', 535, 'All the best vibes!']",UntitledVideo,0,1,14,0,kinha,False,Sachin Kinha,358,30.45991097687693,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.029787234042553193,0.016666666666666666,0.0,0.0,0.27182162559524287,0.002785515320334262,0.039730217637657
87,163,"['Vible', 535, 'All the best vibes!']",UntitledVideo,0,2,49,0,kinha,False,Sachin Kinha,372,49.1363198842348,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.10425531914893617,0.03333333333333333,0.0,0.0,0.43848829226190955,0.002680965147453083,0.08206018815228379
88,131,"['Vible', 535, 'All the best vibes!']",UntitledVideo,0,1,10,0,kinha,False,Sachin Kinha,372,54.48548417354877,Unspecified,General Audience,Description not available.,"['sachin kinha', 'vible', '535', 'all the best vibes!', 'unspecified', 'description not available.', 'general audience', 'kinha']",0.02127659574468085,0.016666666666666666,0.0,0.0,0.48622377427960606,0.002680965147453083,0.05860678599944351
